ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición

932,simple,TL-60YSN368LMVS,,"Lámpara Spot Para Sobreponer, Base GU10, Dirigible, 6W, Satinado",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,225.9,MARCAS > TECNOLITE,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/tl-60ysn368lmvn_qnis36tyyqrl5goo.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/tl-60ysn368lmvn-1_ai1zba38jqmemmmo.jpg",,,,,,,,,0

943,simple,KT-CLT120,,Multímetro Digital De Gancho De Rango Automatico de 400 A CA,1,0,visible,,Multimetro digital de gancho 400A Muy adecuado para las labores de mantenimiento eléctrico. Funciones: Voltaje CA.: De 4V a 600V. Voltaje CD.: De 400mV a 600V. Corriente CA.: De 40A a 400A. Voltaje CA.: De 4V a 6V. Voltaje CD.: De 4mV a 6V. Corriente CA.: De 4A a 4A Corriente CD.: De 4A a 4A. Frecuencia: De 1Hz a 1 MHz.,,,taxable,,1,,,0,0,,,,,1,,,2054.09,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/16-101.jpeg,,,,,,,,,0

944,simple,93003M,,Flexometro Magnético 3M,1,0,visible,,"Flexometro Magnetico de 3m Espesor de la cinta 11 mm. Para mayor resistencia y mejor control sobre la cinta. Plástico ABS resistente a altas temperaturas e impactos. Clip y gancho, resistentes a la corrosión. Contorno de tacto suave (soft touch) para un mejor agarre Espesor de la cinta o.11 mm. Para mayor resistencia y mejor control sobre la cinta. Plástico ABS resistente a altas temperaturas e impactos. Clip y gancho, resistentes a la corrosión. Contorno de tacto suave (soft touch) para un mejor agarre. Tornillos especiales para plástico. No presionan al plástico",,,taxable,,1,,,0,0,,,,,1,,,94.27,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/93003m.jpeg,,,,,,,,,0

945,simple,KT-RT210,,Probador De Tomacorrintes GFCI,1,0,visible,,"Probador de polaridad con GFCI Los probadores de receptáculo de Klein Tools están diseñados para detectar los problemas de cableado más comunes en receptáculos estándar y GFCI. El probador ofrece un cuadro práctico que ayuda a determinar las condiciones de cableado en el tomacorriente en función de los resultados de las luces. Condiciones que indica: puesta a tierra abierta, polaridad inversa, vivo abierto, neutro abierto, vivo/tierra invertidos. Detecta los problemas de cableado más comunes en receptáculos estándar y GFCI Ideal para tomacorrientes GFI, y confirma el funcionamiento del dispositivo protector del interruptor diferencial Cumple con la norma UL STD 1436; certificado según la norma CSA STD C22.2 n.º 16 Temperatura de operación: 32 °F a 14 °F ( °C a 4 °C) Voltaje nominal: 11 V CA/125 V CA a 5 Hz/6 Hz en toma de 3 alambres",,,taxable,,1,,,0,0,,,,,1,,,290.71,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/rt210_alt2.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/rt210_alt1.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/rt210_alt3.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/rt210.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/rt210_app1.jpeg",,,,,,,,,0

946,simple,86615,,"Flexómetro De 5M Con Gancho Doble, Magnético",1,0,visible,,"Flexometro magnetico de 5m Espesor de la cinta 11 mm. Para mayor resistencia y mejor control sobre la cinta. Plástico ABS resistente a altas temperaturas e impactos. Clip y gancho, resistentes a la corrosión. Contorno de tacto suave (soft touch) para un mejor agarre Espesor de la cinta o.11 mm. Para mayor resistencia y mejor control sobre la cinta. Plástico ABS resistente a altas temperaturas e impactos. Clip y gancho, resistentes a la corrosión. Contorno de tacto suave (soft touch) para un mejor agarre Tornillos especiales para plástico. No presionan al plástico",,,taxable,,1,,,0,0,,,,,1,,,568.89,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/93005m.jpeg,,,,,,,,,0

947,simple,NCVT-3P,,Probador De Voltaje Sin Contacto De Doble Rango De 12 - 1000V CA Con Linterna,1,0,visible,,"El NCVT-3P es un probador de voltaje sin contacto con linterna incorporada. El sensor de voltaje detecta de 12 a 1000 V CA e indica la presencia de voltaje en cables, cables conductores, cortacircuitos, accesorios de iluminación, interruptores, tomacorrientes y alambres, timbres, termostatos, luces de bajo voltaje y sistemas de riego. Incluye señales visuales y audibles. El NCVT-3P es lo suficientemente resistente para cualquier lugar de trabajo.",,,taxable,,1,,,0,0,,,,,1,,,942,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/ncvt3p.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/ncvt3p_beauty_r_alt2.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/ncvt3p_app4.jpeg",,,,,,,,,0

948,simple,KT-NCVT-2P,,Probador De Voltaje Sin Contacto De Doble Rango De 12 - 1000V CA,1,0,visible,,"El NCVT-2P es un probador de voltaje sin contacto que detecta de 12 a 1000 V CA e indica la presencia de voltaje en cables, cables conductores, cortacircuitos, accesorios de iluminación, interruptores, tomacorrientes y alambres, así como voltaje CA en timbres, termostatos, luces de bajo voltaje y sistemas de riego. Incluye señales visuales y audibles. El NCVT-2P es lo suficientemente resistente para cualquier lugar de trabajo.",,,taxable,,1,,,0,0,,,,,1,,,684.25,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/ncvt2p.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/ncvt2p_callout.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/ncvt2p_beauty_r_alt2.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/ncvt2p_app6.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/ncvt2p_app5.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/ncvt2p_app4.jpeg",,,,,,,,,0

950,simple,NM400,,Multímetro Digital De Rango Automático De 600V,1,0,visible,,"El multímetro MM400 de Klein Tools es un multímetro de rango automático que mide voltaje CA/CD, corriente CA/CD y resistencia. También sirve para medir temperatura, capacitancia, frecuencia y ciclo de servicio, y para probar diodos y continuidad. La línea de productos de prueba y medición de Klein Tools está diseñada exclusivamente desde el inicio por electricistas, para electricistas. Los años de investigación en el campo combinados con el amplio aporte de los electricistas de todo Estados Unidos sirvieron de inspiración para el desarrollo de medidores y probadores eléctricos que ofrecen características innovadoras, que permiten ahorrar tiempo.
\n
\n[vcex_button url=""https://grupoascencio.com.mx/wp-content/uploads/2025/06/Test.txt"" title=""Visit Site"" style=""flat"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Ficha Tecnica[/vcex_button]",,,taxable,,1,,,0,0,,,,,1,,,1392.89,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/mm400_alt1.jpg,,,,,,,,,0

951,simple,KT210-8,,"Pinza De Electricista Alta Palanca 8""",1,0,visible,,"Con el remache más cerca de las cuchillas para reducir el esfuerzo.Cabeza redondeada, pulida y abrillantada.",,,taxable,,1,,,0,0,,,,,1,,,564.94,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/d-210-8_callout_sp-1.jpg,,,,,,,,,0

952,simple,D220-7-INS,,Pinzas De Corte De Alta Resistecia De 20CM Con Aislamiento,1,0,visible,,"Estas pinzas de corte diagonal con aislamiento tienen agarres de doble capa que son retardante de llama, resistentes a impactos y cuentan con calificación de 1000 V. Cuentan con un diseño con punta cónica de alta resistencia con cuchillas de corte templadas por inducción para ofrecer durabilidad. Están fabricadas con acero forjado y tienen una unión remachada en caliente para ofrecer una acción uniforme y evitar el bamboleo del mango.",,,taxable,,1,,,0,0,,,,,1,,,2361.94,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/d2207ins.jpg,,,,,,,,,0

953,simple,D-210-9,,"Pinza De Electricista Clásicas- 9""",1,0,visible,,"Mordazas moleteadas de agarre seguro, Cuchillas de corte templadas por inducción para brindar una vida útil prolongada, Unión remachada en caliente que garantiza una acción uniforme sin bamboleo del mango, El templado exclusivo del mango ayuda a absorber el “chasquido” al cortar el cable, Cabeza de la pinza templada a precisión para trabajos difíciles, Cubierta plástica inyectada bimaterial de ultima tecnologia; suaves en las paretes que entran en contacto con las manos, duro en puntas e interior para durabilidad; presentan ademas unos topes que previenen el deslizamiento de la mano durante su uso. Los mangos con la forma de la mano son óptimos para proporcionar máximo agarre y poder de corte",,,taxable,,1,,,0,0,,,,,1,,,1008.58,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/kt201-9.jpg,,,,,,,,,0

954,simple,D203-8-INS,,Pinza de 225MM De Punta Con Aislamiento,1,0,visible,,"Las pinzas aisladas, de corte lateral y punta Klein Tools poseen clasificación de seguridad de 1000 V para trabajar en condiciones seguras. La punta larga está diseñada para sujetar y enlazar cables. El aislamiento de doble capa anaranjado sobre blanco proporciona una señal de advertencia ante la falla del aislamiento. El aislamiento moldeado satisface o supera las normas ASTM F1505-16 e IEC 60900:2012 referidas a herramientas con aislamiento. Las cuchillas están templadas por inducción para una larga vida útil.",,,taxable,,1,,,0,0,,,,,1,,,1908.41,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/d203-8n-ins.jpg,,,,,,,,,0

955,simple,1010,,"Multiherramienta De Punta Pelacable, Cortacables, Herrmienta Ponchadora",1,0,visible,,"La multiherramienta de punta pelacables de Klein Tools se utiliza para una amplia variedad de funciones, para cortar cables y tornillos, pelar y ponchar. Los agujeros peladores y de corte se encuentran frente al pivote para que la herramienta se utilice fácilmente en espacios reducidos. Los mangos acolchados recubiertos en plástico ofrecen mayor comodidad.",,,taxable,,1,,,0,0,,,,,1,,,543.18,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/1010_alt1.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/1010_app1.jpg",,,,,,,,,0

956,simple,D507-6,,"Llave Ajustable De Capacidad Extra, De 165MM",1,0,visible,,"La llave ajustable de capacidad extra de 6-1/2'' de Klein Tools se ajusta a la mayoría de tuercas y pernos de hasta 15/16''. Está diseñada para realizar trabajos mayores en espacios reducidos. Esta llave está fabricada en acero de aleación con tratamiento térmico para lograr mayor resistencia; además, posee un acabado cromado pulido.",,,taxable,,1,,,0,0,,,,,1,,,785.77,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/d507-6_alt2.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/d5076_b.jpg",,,,,,,,,0

957,simple,D213-9NE-INS,,Pinzas De Corte Lateral De 245MM Con Aislamiento Y Punta Tipo New England,1,0,visible,,Estas pinzas de corte lateral tipo New England con aislamiento tienen aislamiento de doble capa y cumplen con las normas IEC 60900 y ASTM F1505. Están fabricadas con acero forjado con cuchillas templadas por inducción para ofrecer resistencia y durabilidad. Tienen un diseño de alta palanca que proporciona 46 % más potencia de corte y agarre que otros diseños de pinzas.,,,taxable,,1,,,0,0,,,,,1,,,2428.52,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/d2139neins.jpg,,,,,,,,,0

958,simple,KT-D210-9,,"Pinza De Electricista Alta Palanca- 9""",1,0,visible,,"Diseño de alta palanca. Remache más próximo al filo de corte para proporcionar 46 % más potencia de corte y agarre que otros diseños de pinzas,Cuchillas de corte templadas por inducción para brindar una vida útil prolongada, Unión remachada en caliente que garantiza una acción uniforme sin bamboleo del mango",,,taxable,,1,,,0,0,,,,,1,,,424.53,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/kt210-9.jpg,,,,,,,,,0

959,simple,KT-401-8,,"Pinzas De Mecánico Cromadas- 8""",1,0,visible,,"Forjadas de acero al alto carbono para obtener durabilidad y resistencia, Con cortador de alambre tipo cizalla, Mecánismo de unión deslizable de dos posiciones fabricado con gran precisión, Estriado en sobrerelieve en mangos para tener un mejor agarre, Con acabado a espejo.",,,taxable,,1,,,0,0,,,,,1,,,212.26,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/401-8.jpg,,,,,,,,,0

960,simple,KT-201-9,,"Pinza De Electricista Clásica- 9""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,440.35,MARCAS > KLEIN TOOLS,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/kt201-9-2.jpg,,,,,,,,,0

961,simple,KT-11063W,,Pelacables Y Cortador Katapult Para Cavle Sólido Y Trenzado,1,0,visible,,"El pelacables / cortador Katapult™ de Klein Tools tiene un orificio de corte incorporado para cortar cables sólidos de 8-20 AWG y cable trenzado de 10-22 AWG a la perfección, mientras que la cabeza peladora permite sujetar y pelar fácilmente, con solo apretar el mango. Fabricado a partir de aleación de fundición con un acabado Ecoat de alta resistencia para brindar mayor durabilidad y resistencia a la corrosión.",,,taxable,,1,,,0,0,,,,,1,,,1010.56,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/11063w_vertical.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/11063w_app3.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/11063w_app5.jpg",,,,,,,,,0

962,simple,11061,,Pelacables Y Cortador De Ajuste Automático,1,0,visible,,"El pelacables / cortador de ajuste automático de Klein Tools elimina la necesidad de realizar cálculos estimativos a la hora de pelar cables sólidos, trenzados y Romex®. Como su nombre lo indica, esta herramienta tiene una cabeza peladora de ajuste automático para pelar cables de manera fácil y rápida. Es especialmente útil para el trabajo en paneles y en otros lugares donde se encuentran diversos tipos y tamaños de cables. Ideal para aplicaciones de HVAC (calefacción, ventilación y aire acondicionado).",,,taxable,,1,,,0,0,,,,,1,,,803.57,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/11061_vertical.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/11061_callout_sp.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/11061_app4.jpg",,,,,,,,,0

963,simple,KT-213-9NE,,Pinza De Corte Lateral Y Alta Palanca,1,0,visible,,"Estas pinzas de corte lateral y alta palanca de Klein Tools están hechas con acero para herramientas fabricado en EE. UU. y con cuchillas de corte templadas por inducción para mayor durabilidad. Su diseño de alta palanca, con el remache más cerca del filo de corte, proporciona 46 % más de potencia de corte y agarre. Los mangos con “forma de la mano” se han templado y diseñado para mejorar la durabilidad, potencia de corte y agarre.",,,taxable,,1,,,0,0,,,,,1,,980,1054.72,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/2139ne.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/side-cutting-pliers_callout_sp.jpg",,,,,,,,,0

964,simple,KT-203-8,,"Pinza De Corte Cónica Con Corte Para Trabajo Pesado- 8""",1,0,visible,,"Diseño robusto y mangos acampanados,Indispensable para mantenimiento e instalaciones industriales.",,,taxable,,1,,,0,0,,,,,1,,800,976.28,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/d-203-8.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/d-203-8_callout_sp.jpg",,,,,,,,,0

965,simple,KT-3005CR,,"Pinza Ponchadora, 10-22 AWG Para Terminales Con Aislamiento",1,0,visible,,La pinza ponchadora de ciclo completo poncha terminales de cable con aislamiento de 10-22AWG. Esta herramienta cuenta con tres cavidades de ponchado en una sola herramienta con marcas codificadas por color de cables que indican tres rangos de tamaños de terminales con aislamiento. El diseño de la ponchadora demanda poco esfuerzo para ponchar al tiempo que ejerce una gran potencia de jalado de la terminal. La matraca incorporada garantiza un ponchado de ciclo completo uniforme todas las veces. La acción compuesta de palanca de los mangos de apertura estrecha ejerce mayor potencia de ponchado en cada apriete. Agarres cómodos para reducir la fatiga de la mano.,,,taxable,,1,,,0,0,,,,,1,,,431.12,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/3005cr.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/3005cr_beauty_l.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/3005cr_app8.jpg",,,,,,,,,0

966,simple,5126t,,Portaherraminetas De 5 Espacios,1,0,visible,,"Un portaherramientas de alta calidad con un bolsillo extragrande y cortado en V para todo uso, 2 laterales y 2 frontales, con gancho para navaja. Tiene ranuras para usarse con cinturones hasta de 1.7'''' (45 mm) de ancho.",,,taxable,,1,,,0,0,,,,,1,,520,625.58,Sin categorizar,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/5126.jpg,,,,,,,,,0

967,simple,69401,,Estuche De Transporte Para El Multímetro,1,0,visible,"&nbsp;
\n
\n&nbsp;","El estuche para transporte del multímetro de Klein Tools es parte de una línea completa de productos de prueba y medición, diseñada desde el inicio por electricistas y para electricistas. El estuche presenta una resistencia excepcional a la abrasión, las perforaciones y las roturas. Este estuche para transporte de alta resistencia ofrece práctico almacenamiento para los multímetros de gancho, multímetros digitales y otros productos de medición y prueba de Klein Tools.
\n
\n&nbsp;
\n
\n[vcex_button url=""https://grupoascencio.com.mx/wp-content/uploads/2025/06/Test.txt"" title=""Visit Site"" style=""flat"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""noopener""]Ficha Tecnica[/vcex_button]
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,205.67,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/69401_alt6.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/69401_app1.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/69401.jpg",,,,,,,,,0

968,simple,KT-55421,,Mochila Para Herramientas Tradesman Pro,1,0,visible,,"La mochila Tradesman Pro™ Organizer de Klein Tools cuenta con 39 bolsillos que brindan innumerables opciones de almacenamiento de herramientas, entre ellas, un bolsillo frontal rígido moldeado para proteger las gafas de seguridad y un bolsillo delantero con cierre para guardar piezas sueltas. El interior de color naranja brillante le permite encontrar las herramientas más rápidamente. La base moldeada y duradera protege de la intemperie y es resistente al agua.",,,taxable,,1,,,0,0,,,,,1,,1800,2087.71,MARCAS > KLEIN TOOLS,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/55421bp-14.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/55421bp_14_alt1.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/55421-bp_alt1.jpg",,,,,,,,,0

2912,simple,10226-YA312N,,ZAPATA CANON LARGO 2 OJILLOS CAL 350 1/2 02004961,1,0,visible,"Zapata Cañón Largo 2 Ojillos Calibre 350 1/2.
\n
\nDiseñado para asegurar una conexión eléctrica confiable y segura en sistemas de media y alta tensión.","Especificaciones Técnicas:
\n<ul>
\n 	<li>350 kcmil CU.</li>
\n 	<li>Dos orificios.</li>
\n 	<li>Tamaño de perno de 1/2.</li>
\n 	<li>Espaciado entre orificios de 1-3/4.</li>
\n 	<li>Chaflán interno de canon largo.</li>
\n 	<li>Estañado.</li>
\n 	<li>UL/CSA.</li>
\n 	<li>90 °C.</li>
\n 	<li>Hasta 35 kV.</li>
\n 	<li>Código de color rojo.</li>
\n 	<li>Índice de matriz 18 o 324.</li>
\n</ul>
\n[vcex_button url=""https://grupoascencio.com.mx/wp-content/uploads/2025/08/10226-YA312N.pdf"" title=""Visit Site"" style=""flat"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Ficha Tecnica[/vcex_button]",,,taxable,,1,,,0,0,,,,,1,,,0,"MARCAS > BURNDY, ZAPATAS",,,https://grupoascencio.com.mx/wp-content/uploads/2025/06/10226-YA312N-ZAPATA-CANON-LARGO-2-OJILLOS-CAL-350-12-02004961-1-scaled.png,,,,,,,,,0

2916,simple,10226-YA342N,,ZAPATA CANON LARGO 2 OJILLOS 1/2 CAL. 500 502605,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n
\nZapata Canon Largo 2 Ojillos 1/2 Calibre 500.
\n
\n<span style=""color: var(--wpex-text-2); font-size: var(--wpex-body-font-size, 13px);"">Diseñado para asegurar una conexión eléctrica confiable y segura en sistemas de media y alta tensión.</span>
\n
\n</div>
\n<div class=""contenedor-botones""></div>","Especificaciones Técnicas:
\n<ul>
\n 	<li>500 kcmil CU.</li>
\n 	<li>2 orificios.</li>
\n 	<li>Tamaño de perno de 1/2.</li>
\n 	<li>Espaciado de orificios de 1-3/4.</li>
\n 	<li>Chaflán interno de canon largo.</li>
\n 	<li>Estañado.</li>
\n 	<li>UL/CSA.</li>
\n 	<li>90 °C.</li>
\n 	<li>Hasta 35 kV.</li>
\n 	<li>Código de color marrón.</li>
\n 	<li>Índice de matriz 20 o 299.</li>
\n</ul>
\n[vcex_button url=""https://grupoascencio.com.mx/wp-content/uploads/2025/08/10226-YA342N.pdf"" title=""Visit Site"" style=""flat"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Ficha Tecnica[/vcex_button]",,,taxable,,1,,,0,0,,,,,1,,,0,"MARCAS > BURNDY, ZAPATAS",,,https://grupoascencio.com.mx/wp-content/uploads/2025/06/10226-YA342N-ZAPATA-CANON-LARGO-2-OJILLOS-12-CAL.-500-502605-scaled.png,,,,,,,,,0

2938,simple,10226-BGBL1/0,,ZAPATA MECANICA DE ALUMINIO PARA SISTEMA DE TIERRAS CAL 1/0,1,0,visible,"Zapata Mecánica De Aluminio Para Sistema De Tierras Calibre 1/0.
\n
\nConector mecánico de aluminio diseñado para ofrecer una conexión confiable y segura entre conductores eléctricos, ideal para sistemas de puesta a tierra.","Especificaciones Técnicas:
\n<ul>
\n 	<li>Terminal de aluminio para instalación en pared.</li>
\n 	<li>Calibre 1/0-14 AWG.</li>
\n 	<li>Perno de 3/8"".</li>
\n 	<li>Estañado.</li>
\n</ul>
\n[vcex_button url=""https://grupoascencio.com.mx/wp-content/uploads/2025/08/10226-BGBL10.pdf"" title=""Visit Site"" style=""flat"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Ficha Tecnica[/vcex_button]",,,taxable,,1,,,0,0,,,,,1,,,0,"MARCAS > BURNDY, ZAPATAS",,,https://grupoascencio.com.mx/wp-content/uploads/2025/06/10226-BGBL10-ZAPATA-MECANICA-DE-ALUMINIO-PARA-SISTEMA-DE-TIERRAS-CAL-10--scaled.png,,,,,,,,,0
